text,org_norp,org_loc
"Out of all the Vietnamese spots in North Texas that I've tried, my absolute favorite is Pho Pasteur, in Arlington:",Pho Pasteur is a Vietnamese spot,Pho Pasteur is in Arlington in North Texas
"Try a real, local Italian place, like Libretto's up the road or Portofino's on Park Rd.",Libretto's and Portofino's are Italian places.,"Libretto's is up the road, Portofino's is on Park Rd."
", i suggest you go to a Asian grocery store, such as: Far East, Green onion, Amko, or that little shop on Neil street called Chang's.","Far East, Green Onion, Amko and Chang's are Asian grocery stores",Chang's is on Niel Street
"Best of Philly in my opinion is hands down the Best Cheese Steak in the Valley.\n\nThey build sandwiches to your liking with fresh baked bread, lean steak grilled with olive oil and real American cheese.",Best of Philly has American food.,Best of Philly is in the Valley
"If you're looking for Mexican seafood, I'd say MPH gets the nod over other joints such as Acapulco Bay (S. Scottsdale), San Carlos Bay (CenPho), or San Diego Bay","MPH, Acapulco Bay, and San Carlos Bay have Mexican seafood","Apulco Bay is in S. Scottsdale, San Carlos Bay is in CenPho"
Asian Cafe Express in Mesa is still the best Chinese food in Phoenix Metro.,Asian Cafe Express has Chinese food,Asian Cafe Express is in the Mesa in Phoenix Metro
I haven't run across authentic Hawaiian food in the Valley until coming to Ono Hawaiian BBQ.,Ono Hawaiian BBQ has Hawaiian food,Ono Hawaiian BBQ is in the Valley
Flamingo Palace is the closest thing to East Coast Chinese food I've found.,Flamingo Palace has Chinese food,Flamingo Palace is on the East Coast
"\n\nThe Digs: Salon Boulevard is in a convenient spot for Phoenicians in the Moon Valley area, located in the LA Fitness complex right next to Half Moon Bar & Grill.",The Digs: Salon Boulevard has Phoenician food,"The Digs: Salon Boulevard, LA Fitness, and Half Moon Bar & Grill are in the Moon Valley Area"
"\n\nI place every other mexican food restaurant, including taco bell, in the phoenix metro area, ABOVE this place.",Taco Bell is a mexican food restaurant,Taco Bell is in the Phoenix Area
"There are many different Thai restaurants around the Phoenix Valley that serve red curry, but I have found none that can match the authenticity of Mint Thai.",Mint Thai is a Thai restaurant,Mint Thai is in Phoenix Valley
"If you want delicious Italian food, may I recommend \""""Stone and Vine Urban Italian\"""" on Shea Blvd.",Stone and Vine Urban Italian serves northern Italian food,Stone and Vine Urban Italian is on Shea Blvd
nice.\n\nI don't understand why it is so freaking impossible to find good Chinese food in the Valley that's not from a chain like Pei Wei.,Pei Wei is a Chinese restaurant,Pei Wei is in the Valley
Top two in AZ for Indian [other being Star of India in Ahwatukee].,Star of India is an Indian restaurant,Star of India is in Ahwatukee in AZ
"In my opinion, Royal Taj, Guru Palace and Taj Mahal are in the top 3 Indian restaurants in the valley.","Royal Taj, Guru Palace, and Taj Mahal are Indian restaurants","Royal Taj, Guru Palace, and Taj Mahal are in the valley"
I have tried every other mongolian bbq in the valley and none compare to YC's.,YC's is a mongolian bbq restaurant,YC's is in the vallye
\nWe preferred Shanghai on 67th and Happy Valley (in the Fry's shopping Center) as our favorite Chinese in the Northwest side.,Shanghai and Happy Valley are Chinese restaurants,Shanghai is on 67th and Happy Valley is in the Fry's shopping Center in the Northwest side
"I live in Henderson - which is a road trip to Spring Mountain but the food is so good and every Sunday after basketball games at Tark, my family heads to PKL to get our Vietnamese fix.",PKL is a Vietnamese restaurant,PKL is in Spring Mountain
"I have tried almost every Indian restaurant in the City so far and having so many options, I would go to Taj Palace, Ranis or India Masala for their amazing hospitality and authentic Indian food rather than Samosa factory...any day!","Taj Palace, Ranis, India Masala and Samosa factory are Indian restaurants","Taj Palace, Ranis, India Masala and Samosa factory are in the city"
": If you want Chinese food that doesn't suck, check out Food Express on Decataur and Sahara (not in Palace Station).",Food Express is a Chinese restaurant,Food Express is on Decataur and Sahara
I would encourage patrons who love chinese food to go to the Pin Pan Pon in the Gold Coast Casino.,Pin Pan Pon is a Chinese restaurant,Pin Pan Pon is in the Gold Coast Casino
Los Tacos is a popular Mexican fast food restaurant with East side and West side locations.,Los Tacos is a Mexican fast food restaurant,Los Tacos is on the East side and West Side
"After touring Death Valley, we decided to go to Cathay house as we were looking for some authentic Chinese food.",Cathay house is a Chinese restaurant,Cathay house is in Death Valley
"La Cucina is a cute, small Italian restaurant in Squirrel Hill.",La Cucina is an Italian restaurant,La Cucina is in Squirrel Hill
"As someone who has been trying a lot of Vietnamese restaurant in North America, I would say that Saigon Noodle's Pho is relatively comparable to all other good restaurants out there, and certainly the best in Madison.",Saigon Noodle is a Vietnamese restaurant,Saigon Noodle is in Madison in North America
"Overall, if you're in the Central Phoenix area and craving tasty Chinese food, I recommend Sing High's.",Sing High's is a Chinese restaurant,Sing High's is in the Central Phoenix area
Elmer's Taco Shop is one of my favorite spots in the East Valley area to get Mexican food.,Elmer's Taco Shop is a Mexican restaurant,Elmer's Taco Shop is in the East Valley area
"going.\n\nIt's not the most british joint in the valley and the drinks aren't super cheap, but it's so inviting when you don't feel like dealing with the cramped space of TT Roadhouse",TT Roadhouse is a british joint,TT Roadhouse is in the valley
I consider Salo Salo Grill as one of my top 3 Filipino restaurants in the West Coast along with Barrio Fiesta (not sure if they're still around) and Fiesta sa Barrio both in Los Angeles.,"Salo Salo Grill, Barrio Fiesta, and Fiesta sa Barrio are Filipino restaurants","Salo Salo Grill, Barrio Fiesta, and Fiesta sa Barrio are on the West Coast. Barrio Fiesta and Fiesta sa Barrio are in Los Angeles."
"(Sidenote, Pin Pang Pong at the Gold Coast, Zine at Palazzo and the Venetian Hong Kong Noodle restaurant all manage reasonable Chinese food at decent prices on/close to the strip, it is possible!)\n\nI should clarify that its not bad, not bad at all.","Pin Pan Pon, Zine, and Venitian Hong Kong Noodle are Chinese restaurants","Pin Pan Pong is at the Gold Coast, Zine is at the Palazzo"
The Border Grill in Mandalay Bay is perhaps my favorite upscale Mexican restaurant.,The Border Grill is a Mexican restaurant,The Border Grill is in Mandalay Bay
"If you have friends or family in town from a place without a big Mexican food presence, Los Dos Molinos is a good option for showing them some of the great traditional cuisine we are so lucky to have in the Valley of the Sun.",Los Dos Molinos is a Mexican restaurant,Los Dos Molinos is in th Valley of the Sun
Some of the reviews had proclaimed that Lotus of Siam was the best Thai restaurant on the West Coast.,Lotus of Siam is a Thai restaurant,Lotus of Siam is on the West Coast
